studentID,exercise,score,remark
09B22619_Flutter_CWP_Basic_p2,p2,Long Input,Japan Text 
09B222461_Flutter_CWP_Basic_p2,p2,Long input,-
Exercise2,p2,0.30,Dropdown (Input/Button/Text),
09B22401_Flutter_CWP_Basic_p3,p3,Error,pdf extract
09B22407_Flutter_CWP_Basic_p3,p3,0.70 Text
09B22438_Flutter_CWP_Basic_p3,p3,Error
09B22439_Flutter_CWP_Basic_p3,p3,0.78 Text
09B22440_Flutter_CWP_Basic_p3,p3,Not detected,although it is button
09B22445_Flutter_CWP_Basic_p3,p3,0.73 Text
09B22470_Flutter_CWP_Basic_p3,p3,0.72 Text
09B22478_Flutter_CWP_Basic_p3,p3,0.72 Text
09B22490_Flutter_CWP_Basic_p3,p3,0.63 Text
09B22491_Flutter_CWP_Basic_p3,p3,0.73 Text
09B22495_Flutter_CWP_Basic_p3,p3,0.73 Text
09B22498_Flutter_CWP_Basic_p3,p3,0.75 Text
09B22500_Flutter_CWP_Basic_p3,p3,0.74 Text
09B22570_Flutter_CWP_Basic_p3,p3,0.72 Text
09B22573_Flutter_CWP_Basic_p3,p3,0.65 Text
09B22578_Flutter_CWP_Basic_p3,p3,0.72 Text
09B22583_Flutter_CWP_Basic_p3,p3,Error
09B22591_Flutter_CWP_Basic_p3,p3,0.83 Inputbox,Japan Text
09B22619_Flutter_CWP_Basic_p3,p3,0.71 Dropdown,Japan Text 
09B222461_Flutter_CWP_Basic_p3,p3,0.72 Text
Exercise3,p3,0.73 Text
09B22401_Flutter_CWP_Basic_p4,p4,0.61,pdf extract
09B22407_Flutter_CWP_Basic_p4,p4,0.84
09B22438_Flutter_CWP_Basic_p4,p4,Error
09B22439_Flutter_CWP_Basic_p4,p4,0.59
09B22440_Flutter_CWP_Basic_p4,p4,0.58
09B22445_Flutter_CWP_Basic_p4,p4,0.57
09B22470_Flutter_CWP_Basic_p4,p4,0.52
09B22478_Flutter_CWP_Basic_p4,p4,0.56
09B22490_Flutter_CWP_Basic_p4,p4,Error
09B22491_Flutter_CWP_Basic_p4,p4,0.58
09B22495_Flutter_CWP_Basic_p4,p4,0.60
09B22498_Flutter_CWP_Basic_p4,p4,0.58
09B22500_Flutter_CWP_Basic_p4,p4,0.61
09B22570_Flutter_CWP_Basic_p4,p4,0.57
09B22573_Flutter_CWP_Basic_p4,p4,0.55
09B22578_Flutter_CWP_Basic_p4,p4,0.59
09B22583_Flutter_CWP_Basic_p4,p4,Error
09B22591_Flutter_CWP_Basic_p4,p4,Error
09B22619_Flutter_CWP_Basic_p4,p4,0.56
09B222461_Flutter_CWP_Basic_p4,p4,0.55
Exercise4,p4,0.61 
09B22407_Flutter_CWP_Basic_p5,p5,0.29
09B22438_Flutter_CWP_Basic_p5,p5,Error
09B22439_Flutter_CWP_Basic_p5,p5,0.69
09B22440_Flutter_CWP_Basic_p5,p5,0.71
09B22445_Flutter_CWP_Basic_p5,p5,0.69 Text,Show Dropdown
09B22470_Flutter_CWP_Basic_p5,p5,0.70
09B22478_Flutter_CWP_Basic_p5,p5,0.73
09B22490_Flutter_CWP_Basic_p5,p5,Error
09B22491_Flutter_CWP_Basic_p5,p5,Error
09B22495_Flutter_CWP_Basic_p5,p5,0.67 Text,Show Dropdown
09B22498_Flutter_CWP_Basic_p5,p5,0.88
09B22500_Flutter_CWP_Basic_p5,p5,Error
09B22570_Flutter_CWP_Basic_p5,p5,Error
09B22573_Flutter_CWP_Basic_p5,p5,0.71 Text,Show Dropdown
09B22578_Flutter_CWP_Basic_p5,p5,0.26
09B22583_Flutter_CWP_Basic_p5,p5,0.52
09B22591_Flutter_CWP_Basic_p5,p5,Error
09B22619_Flutter_CWP_Basic_p5,p5,0.46/0.76,Japan Text,Dropdown
09B222461_Flutter_CWP_Basic_p5,p5,0.50
Exercise5,p5,Dropdown 0.45
09B22401_Flutter_CWP_Basic_p5,p5,0.63(Text),Dropdown pdf extract
